Customers,street,street2,city,state,zip,country code,email,phone,fax,gstn no,salesperson
COMEPA INDUSTRIES,"88, av. Du General de Gaulle Bagnolet Cedex-France",,,,93541,FR,alain.debeauvais@comepa.com,+33(0)1 48 13 79 78,+33(0)1 42 43 64 44,,
CONCORD IMPORT EXPORT,20 Rue De Villiers B.P 37  Levallois Perret France,,,,92300,FR,contact@concorde-ie.com,(33)-01-47-57-03-53,(33)-01-47-57-39-23,,
"CORYSAN, SA","Avda. Siglo XXI, 67 08840-Viladecans Barcelona(Spain)",,,,,ES,elenabuitrago@corysan.es,+34 936 473 310,+34 936 593 878,,
,,,,,,,esthersierra@corysan.es,+34 936 473 310,+34 936 593 878,,
CROWN HEALTHCARE,"P.O Box 40449 – 00100 GPO  Nairobi , Kenya.",,,,,KE,info@crownkenya.com,+254 (20) 375 00 00,+ 254 (20) 375 06 00,,
Cumbo SRL ,Michelangelo Buonarroti 10,  ⇓ Cesano  Boscone (MI) ,,,20090,IT,info@pinzetteprofessionalifocus.it,0039-02-4501581,0039-02-4582623,,
NAMROL,C / dels Drets Humans 17-19 ,"Pol. Ind. Mas Alba  Sitges (Barcelona, SPAIN) ",,,8870,ES,info@namrol.com,902 374 747,,,
DACHS Deutschland,"Konrad-Zehrt-Str. 1,",Heilbad Heiligenstadt,,,37308,DE,verkauf@shopandstore.de,03606 612382,03606 612384,,
DIDACTIC GROUPE,Le Mirlibut- 1800 Route des Bleuets-  Etainhus,,,,76430,FR,marc.merat@didactic.fr,+33(0)2 35 44 93 93,+33(0)2 35 44 93 88,,
DEFFNER & JOHANN Gmbh,"Muhlackerstr.13, D-97520 Rothlein/ Schweinfurt. Germany",,,,,DE,info@deffner-johann.de,0049-9723-9350-0,+49 (0) 9723 9350-25,,
Duggan Veterinary Supplies Ltd., Holycross Co. Tipperary,,,,,IE,donal@dugganvet.ie,00353 (0) 86-257 5159,,,
OPTIND PTY LTD,"134 COONANBARRA ROAD, WAHROONGA","NSW 2076, 2076 SYDNEY",,,,AU,,+61 2 9943 0785,,,
DOMINIQUE DUTSCHER,"30, Rue De' I' Industrie, BP-62-67172, Brumath, France",,,,,FR,info@dutscher.com,33388593390,388593399,,
DINA -HITEX,"Zdanska 987,  Bucovice, Czzech Republic",,,,68501,CZ,m.hasala@dina-hitex.com,+420 517 380 215;    517 380 216;        517 380 820,+420517 380 831,,
,,,,,,,s.singh@dina-hitex.com,+420 517 380 215;    517 380 216;        517 380 820,+420517 380 831,,
,,,,,,,p.snaselova@dina-hitex.com,420517380820,420517380831,,
ECO TRADE,"Strahinjica Bana 3,
18000 Niš, Serbia",,,,,YU,biljana@ecotradebg.rs,+381 18 520 691 ,+381 18 522 144,,
Euro Diffusion Medicale,1 RUE DES BOISSELLIERS. DOMONT . FRANCE,,,,95330,FR,info@edm-imaging.com,0033 1 30118300,0033 1 39357525,,
Roshan Teb Sahand Co./ AMIN TEB. CO.,"Unite 3, First Floor, No. 32  Mahtab Building","Rajab Beigi Alley, Jomhuori Junction Vali – E – ASR  St.  Tehran – Iran",,,,IR,info@rtsco.ir / info@aminteb.ir,:+98-21-66951419 / 21,+98-21-66486170,,
Electroplast S.A,"Servando Gomez 2460, Montevideo, Uruguay",,,,12100,UY,contact@electroplast.com,(506) 2244-0404, (506) 2244-0405 ,,
ESTE TEAM,"Via Raimondo Montecuccoli, 33, Milano ",,,,20147,IT,s.ciampella@esteteam.com,+39.02.48.51.81.19,+39.02.43.98.18.92,,
EUROMEDIS,Z.I. de la Tuilerie-12 rue Pierre Bray  Neuilly s/s Clermont France,,,,60290,FR,nadine.pointeau@euromedis.fr,+33 (0)3 44 73 83 57,+33(0)3 44 73 57 32,,
Eksmen Makine San. Ve. Tic. Ltd. Sti.,Eyup Sultan Mah.Imam Hatip Cad. No.13 ,Samandira-Kartal-Istanbul Turkey ,,,,TR,eksmen@eksmen.co,+ 90 216-5614747,0090-216-5614020-21,,
TOE & FOOT SOLUTION/ Express Blades,"18 THORNHILLS LANE, CLIFTON",BRIGHT HOUSE. HD64JG WEST YORKSHIRE,,,,GB,info@tafsolutions.com,,,,
,,,,,,,jfletcher7@hotmail.com,1484714789,,,
Eyemed Dis Ticaret Ltd.Sti,Sehit Mehmet Baydar Sok. No:5 / 2,Safak Apt. Maltepe / ANKARA ,,,6570,TR,,00  90  312  230 24 70,00  90  312  230 24 69 ,,
EZZ MEDIKAL SAGLIK EGITIM YATIRIMLARI SAN ve TIC.LTD.STI.,"Eti Mah. Ali Suavi Sok .  Ak-Han Is Merkezi  No:23/47 ,Maltepe, Ankara",,,,6570,TR,ezzmedikal@hotmail.co,+ 90 312 231 33 18,+ 90 312 231 33 19,,
ANAHITA BEHROOZI.,"PO. Box:125973, Next Ramee Int'I, Naser Square Deira, Dubai UAE.",,,,,AE,,,,,
FARLA MEDICAL ltd.,Unit17 interchange East Industrial Estate Grosvenor Way London E5 9 ND-UK,,,,,GB,samuel@farla.co.uk,0845 108 5108,0845 108 5109,,
,Lange Leemstraat 192 B-2018 Antwerpen-Belgium,,,,,,michel@farla.com,+32 3 285 95 86 /87,+32 3 218 86 17,,
FARNOOSH ,,,,,,IR,,,,,
EDUARD GERLACH GMBH,"Chemische Fabrik. EINKAUF BackerstraBe 4-8, Lubbecke.",,,,32312,DE,,05741/330-126,,,
GERMANOS MEDICAL,"Lysias 33 & Lassithiou 
Peristeri",,,,12132,GR,info@germanos-medicals.gr,,210 5743399,,
Gimap SRL ,"Zona Ind. Giabbio Premana (LC), Italy",,,,23834,IT,gimap@gimap.com,0039-0341 818000-83,0039-0341 890765,,
Globir Medical Suppliars (Pty) Ltd.,"1 Harris Rd, Rondebosch, Cape Town 7780
South Africa",,,,,ZA,gideon.flanders@grobir.co.za,021 6587140,086 147 6247,,
Gold Medical Kft,"Dabas, Dinnyés Lajos utca 12.sz, HUNGARY",,,,2370,HU,info@gold-medical.hu; katalin.szegfi@gold-medical.hu; attila.kristof@gold-medical.hu,06-29-360-484,06-29-360-484,,
GIUBRA S.r.l,Via Canzo. 6/16  Peschiera B. (MI),,,,20068,IT,luca@giubra.com,+39 02 55185380,+39 02 59902296,,
GUBRAC  CANADA,,,,,,CA,,,,,
HEALTH SPHERE,"Healthsphere Limited, ..26 Triq IL-Kbira,  Attard Bzn 02, Malta (Europe)",,,,,MT,healthsphere@camline.net.mt,00356-21-436593,00356-21-436593,,
Hamico Wll,"Office No. 12, 3rd Floor, Al Hilaliyah Building, Al Soor Street, Kuwait City",,,,,KW,jose@hamicomed.com,965-65884337,965-22479580,,
HEINZ HERENZ MEDIZINALBEDARF GMBH,Rudorffweg10  Hamburg Germany,,,,21031,DE,alexander.golinske@herenz.de,+49 40 739204-19,+49 40 7304148,,
HOLTEX,30 rue jean de Guiramand  Aix en Provence- France,,,,13290,FR,arozaire@holtex.fr,04 42 90 31 36,04 42 90 31 41 ,,
,30 rue jean de Guiramand 13290 Aix en Provence- France,,,,,,ctisserand@holtex.fr,+33(0)4 42 90 31 44,+33(0)4 42 90 31  41,,
HENRY SCHEIN SERVICES GMBH,"Monzastrasse 2a, Langen Germany",,,,63225,DE,adrijana.maglic@henryschein.de,+49(0) 61037575222,+49 (0) 6103 7577118,,
IMCOLMEDICA S.A,Calle 36 # 15-42  Teusaquillo Bogota - Colombia,,,,,CO,especialista.quirurgica@incolmedica.com.co,,(571) 232-51-65,,
,,,,,,,director.mercadeo@incolmedica.com.co,(571) 288-98-58,(571) 232-51-65,,
,,,,,,,cinternacional@incolmedica.com.co,570 3500 152,285 4663,,
IMPACT LTD.,"Impact Ltd.,..3c Korytsas str. 153 54, Glyka Nera Athens GREECE",,,,,GR,vogdaneris@impackt.gr,0030 210 6655429,0030 210 6655429,,
INTERDENT,,,,,,,,,,,
INTER MEDICAL,"Inter Medical Co.,Ltd., 999/99 Rama 9 Road,Suanluang",,Bangkok,,10250,TH,im@intermedical.co.th,(662)718-3333,,,
"INTRAVEN, SL",Ctra. Ajalvir-Rorrejon KM.3000 Polig,Industrial Conmar N 8 -AJALVIR (MADRID),,,28864,ES,miguel@intraven.es,91 884 43 73,91 884 40 48,,
JOLFAMAR,"Andorra, 28-C  St, Boi-Spain",,,,8830,ES,jolfamar@jolfamar.com,931710265,936308826,,
,,,,,,,info@jolfamar.com,931710265,936308826,,
,,,,,,,victoriapascual@jolfamar.com,931710265,936308826,,
,,,,,,,carlospascual@jolfamar.com,931710265,936308826,,
 KALTEK SRL,"Via Del Progresso, 2 Z.I, Padova",,,,35127,IT,import-export@kaltek.it,0039-049-8703410,0039-049-8703383,,
KENDON MEDICAL,"6 Gemini St, Linbro Industrial Park, Johannesburg, South Africa",,,,,ZA,justine@kendon.co.za,+27 (0)11 608 1170,,,
KIEPE PROFESSIONAL,Industrial Zone Giabbio Premana (LC) Italy,,,,23834,IT,giuseppe@kiepe.com,+39 0341 890271-3,+390341890028-818626,,
LCH/ Novomed,14 Avenue Ferdinand de Lesseps ZA,"Charles de Gaulle, Goussainvelle",,,95190,FR,contact@novomedgroup.com,33130189115,,,
Leon Borzutzky Fridman S.A,,,,,,CL,lbfsa@lbfsa.cl,(+56)22674 22 00,0056-2-6993932,,
LIVING STONE INTERNATIONAL PVT. LTD,"106-116 EPSOM ROAD, ROSEBERY NSW 2018, AUSTRALIA.",,,,,AU,http://main.livingstone.com.au/Pages/Contacts,0061-2-9313-6111,0061-2-9313-7684,,
Lotus For Import and Export,"92 Tahrir  St . Saridar Business Building, Dokki , Cairo , Egypt  ",,,,,EG,,+ 20100 - 1411- 955,+202 42196834,,
"Pharma Med Tech Co., Ltd.                                   ","225 SOI Pattanakarn 29, Pattanakarn Road","Suanluang Sub District, Suanluang District Bangkok",,,10250,TH,manojpmt@hotmail.com,00662-6620107 / 6620108,00662-6620109,,
"M/s Mahachak International Co., Ltd.",159/12 Soi Vibhavadi Rangsit 64,"Vibhavadi Rangsit Road, Taladbangkhen, Laksi, Bangkok",,,10210,TH,,662-5735522-30,00662-9735533,,
DROGUERIA MARTORANI S.A,Av. Del Campo 1178/80 (cC1427AOO) -C.A. de Buenos Aires,,,,,AR,administracion@martorani.com,(54-11)4554-8100,(54-11)4555-0777,,
,,,,,,,comercioexterior@martorani.com.ar,(54-11)4554-8100,(54-11)4555-0777,,
Medical Center Trading Corpn.,"Pioneer St.,   Cor. Shaw Blvd., Pasig 1600
Philippines",,,,,PH,,00632-631-1715 / 6319356,00632-631-9349 / 7869,,
Medicalex,"6, Rue de Bruxelles – Avenue 2 Mars ,Casablanca –Morocco",,,,,MA,medicalex@iam.net.ma             ,00 212 522 82 44 15 / 16 / 17 / 18,00 212 522 82 44 11,,
MEDIQ SVERIGE AB,"Hallabacksbagen 1 SE-434 37 Kungsbacka, PO Box 10302",,,,,SE,bengt.syren@mediq.com,46 31 388 91 82,,,
MEDITEC S.A,"Madrid 1386, Santiago- Centro PO BOX 53278",,,,,CL,mespinoza@meditec.cl,(56-2)555 0909,(56-2)551 2894,,
MEGRO GMBH & CO. KG,,,,,,DE,krebber@megro.de,49281989938,49281989957,,
,,,,,,,schulze-baeing@megro.de,49281989920,49281989957,,
Mikromedik Sdn Bhd.,17-3 Jalan Dagang SB4/3 Taman Sungai Besiindah Seri Kembangan Selangor,,,,43300,MY,enquiry@mikromedik.com.my,,03 89581246,,
MINITECH import-Export,"Rua Aurora, 983 Salas 71/72, Sao Paulo-SP-01209-001",,,,,BR,alex@minitech.com.br,0055-11-3221-4750,,,
MJK INSTRUMENTS,Hotel Technologique - BP 100,Technopole de Chateau Gombert  Marseille Cedex 13-France,,,13382,FR,,+33 7 83 25 95 99,+33 (0) 491 118818,,
MUGPUN,,,,,,,,,,,
MULTIBRANDS LTD.,"33, Kawran Bazar, Shah Ali Tower ( 9th Floor)","Tejgaon, Dhaka-1215m",,,,BD,,713033295,,,
PT. Multikarya Unggul ,"Pratama,Kompleks Riau Mas","Jl.Riau Ujung Blok 1A Nol.2,Pekanbaru - Riau",,,28292,ID,mup.lab01@yahoo.com,82165718129,,,
MUSTER e DIKSON SERVICE S.p.A,CERRO MAGGIORE (MI),,,,20023,IT,elio.gentile@muster-dikson.com,+39-0331-525218,+39-0331-525219,,
NAMROLL,"C/dels Drets Humans, 17-19 Poll. Ind. Mas Alba Sitges (Barcelona-Spain)",,,,8870,ES,info@namrol.com,902 37 47 47,+34 93 894 87 22,,
New Cosmetics Srl,"Via Muracciola, 2F 00036 Palestrina (Rome Italy)",,,,,IT,info@newcosmetics.it,0039 06 94771137,0039 06 94770625,,
ODONTOIATRIC,"Via Paolo Losa, 23 10093 Collegno, Torino, Italia",,,,,IT,,+39.011.99.47.415,+39.011.99.46.542,,
OMNIMED PTY. LTD.,"7 Malibongwe Drive, Fountainebleau, Randburg",,,,,ZA,sherylg@omnimed.co.za,+2711792-7120,27117916678,,
,,,,,,,sidar@omnimed.co.za,+2711792-7120,27117916678,,
                                                                       P.Service srl                                                                                     ,"Via Garigliano,101, 00040 Ardea – Roma",,,,,IT,odorisio.service@libero.it,393482608900,,,
PALE HERITHA,,,,,,,,,,,
PARAGON CARE GROUP PTY LTD.,"11 DALMORE DRIVE, SCORESBY VIC , VICTORIA",,,,3179,AU,info@paragoncare.com.au,1300 369 559,,,
PATTERSON MEDICAL LTD.,"NUNN BROOK ROAD, HUTHWAITE SUTTON IN ASHFIELD, NG172HU, NOTTINGHANSHIRE",,,,,UK,uksales@pattersonmedical.com,441623448700,03448 730 100,,
FARMAC ZABBAN SPA,Via Persicetana 26  Calderara di Reno Bologna,,,,40012,IT,f.zabban@farmaczabban.it,39051318411,39051318472,,
PODIAFRANCE,"80, rue de Miromesnil  paris",,,,75008,FR,p.garmrouguian@podiafrance.com,+33(0)1 47 54 58 02,+33(0) 1 40 54 97 12,,
Podopiu Service Srl,"Via Roccagorga, 19/33, 00179, Roma",,,,,IT,oricchio@podopiuservice.com,"0039-06-7822386, ",0039-06-7842799,,
Drexco Medical,"Za La Plaine Haute, 5 Rue Des Investisseurs, Crosne",,,,91560,FR,sdrai@drexcomedical.fr,0033-1-69496565 / 6585,0033-1-69839180,,
"PROMECHI, S.L.","C/ Els Ports, 7  - Pol. Ind. Bovalar  Alaquas, Valencia  (España)",,,,46970,ES,promechi@promechi.com ,+34 961 503 056  ,+34 961 518 480,,
Progress Healthcare (Pte.) Ltd.,"345 Jalan Besar, Singapore",,,,208987,SG,progress@pacific.net.sg,0065-62975955,0065-62973103,,
QUALITY LIFE MEDICAL CENTER,"Dubai Marina, Marina Terrace Building","Floor, p4, Dubai, UAE, P.O Box: 36569",,,,AE,info@qlmc.ae,800-1397,,,
RAYA INTERNATIONAL GROUP,12 FAHMY ST. BOSTAN EL-FADEL-KESREI-INI. CAIRO,,,,11441,EG,saidhshm@gmail.com ,201090602990,,,
ROTH MEDICAL (PTY) LTD.,"5 Diesel Road, N'dabeni 7405,  Cape Town","Republic Of South AfricaP.O. Box 38099, Pinelands ",,,7430,ZA,thomas@rothmed.co.za; rothmed@telkomsa.net; sales @rothmed.co.za, 027 21 510 3647,027 21 510 3318,,
Hellmut Ruck Gmbh,"Daimlerstr 23, Neuenburg ",,,,75305,DE,beratung@hellmut-ruck.de,+49 7082-9442 256,+49 7082-9442 258,,
ETS SALEMBIER,8 rue du Plovier  Templemars.,,,,59175,FR,thibault.salembier@salembier.fr,03.20.57.79.96,03.20.57.90.08,,
SKY CASTLE TRAD & CONT WLL.,"OFFICE NO. B138, RETAJ BUILDING","SALWA ROAD, DOHA – QATAR",Panama,,,QA,sales@skycastleqatar.com,5556 4284,5556 4284,,
SEIEME S.A.,"Av.San Martin 3116, (B1752AAW) Lomas del Mirador",,Buenos Aires,,,AR,navia@seiseme.com.ar,(011)4699-2504/1078/1268/1167,,,
,,,,,,,naviamartin@seiseme.com.ar,(+54-11)4699-1078/1268,,,
,,,,,,,compras@seiseme.com.ar,(+54-11)4699-1078/1268,,,
Societe Eloi,"Z.I.Rue Lavoisier, B.P.60, 
52800 Nogent, 
France
",,,,,FR,vincent.callico@eloi-pernet.com,0033-3-25319402,0033-3-25319470,,
SENSIMEDICA S.A,"Calle 49A, Edificio Minerva, Local C, El Cangrejo",,Panama,,,PA,,5072039082,,,
SERBA MEDICAL LTD. CO.,Kazim Karabekir caddesi ozer,"Han No. 31/47-48, ISKITLER ",ANKARA,,6060,TR,,903123845654,,,
SERVOPRAX GMBH.,"Am Marienbusch 9, Wesel",,,,46485,FR,info@servoprax.de,+49 281 952830,0049-281-5485,,
SIDAS SAS,"Zac Grenoble Air Parc, 57 Rue Louis Bleriot",St Etienne De St Geoirs,,,38590,FR,ravillion@sidas.com,+33 476 93 46 00,+33 476 93 46 01,,
SMI AG,"Steinerberg 8, 4780 St. Vith, Belgium",,,,,BE,,+32 80 22 72 92,,,
SOCOFAR,"Avda Vicuna Mackenna 3350, Macul","Santiago, Región Metropolitana",,,,CL,,+56 2 2237 0193,,,
SPENGLER SAS,"670 rue Jean Perrin 13858 Aix-en-Provence, France",,,,,FR,nbrulet@spengler.fr,+33(0)4 42 52 89 78,+33(0)4 42 52 89 09,,
STERIFIL,"Lot. Aaoufik, Rue 1 , Espace Sans Pareil. Sidi Maarouf-Casablanca",,,,,MA,sterifil@sterifil.com,212(0)22975597,212(0)22974433,,
SURGICON & CIA,Centro Empresarial del Occidente KM. 1 via Siberial Cota Cota,,Cundinamarca,,,CO,mariafer@surgicon.com.co,(1)896-6555,(1)755 0099,,
SUTURA LTD.,BUDAPEST Gubacsi út 47.  HUNGARY.,,,,,HU,laszlo.szentesi@sutura.hu, (1) 303 29 54 | (1) 477 0189 ,(1) 477 01 88 ,,
TECHNIWORK SPA,"VIA r. BENINI NO. 8,  CAMPI BISENZIO- FIRENZE",,,,50013,IT,info@tecniwork.it ,558991801,+39 055 89 91 801,,
SAS LABORATORIE TETRA MEDICAL,"59, Av. Rhin et Danube, PAE Marenton","BP 142, F-07104, Annonay Cedex",,,,FR,,0033475332934/7255,0033 4 75677840,,
Thiebaud Biomedical Devices,2 Impasse Des Primbois  Margencel Cedex,,,,74200,FR,sylvie.roux@thiebaud.fr,0033-4-50727080 / 50721724,0033-4-50725444,,
TMT TATOO,Istiklal Caddesi Imam Adnan d3 street no13 Taksim / Beyoglu,,,,,US,info@tmttattoo.com,212 245 88 63,,,
Venofarmacija d.o.o.,"Ul. I štajerskega bataljona 7 Celje, SLOVENIA",,,,3000,SI,venofarmacija@gmail.com.,00386 3 828 02 31,00386 3 828 02 32,,
VIEGO srl.,"Via C. Poma, 19/b  Virgilio (MN)",,,,46030,IT,info@vigeosrl.it; customerservice@vigeosrl.it; vigeo@pec.vigeosrl.it,0039-0376449097,390376282245,,
Wictor SRL ,Via dei Fabbri 16  Maniago - PN,,,,33085,IT,info@wictor.net,"0039 0427 72529, ",0039 0427 732189,,
DIVERSE TATOO,,,,,,TR,tony1972@comcast.net,,,,
VINCAL Srl,"Circ.ne Casilina 135, (( Angolo Via De Madistris)",,Roma,,176,IT,c.bordoni@vincal.it/ I.calvario@vincal.it/ info@vincal.it,"0039-062752136, 27868182, 2171009",0039-06-21702993,,
WOOYANG MEDICAL co. Ltd.,"#201, Buma, Building, 115-16, Nonhyeod-dong, Gangnam-Gu, Seoul",,,,135821,KR,mskim@endotek.com,8225398403,8225488204,,
"Yazbeck Medical Co., ",Mazraa-Beirut-Lebnon,,,,,LB,yazbeck@cyberia.net.lb,00961-3-600351,00961-1-306942,,
ZAYO SIGMA,"Zayo House
Yakubu Gowon Way,
Opposite NASCO, 
Jos, Plateau State - Nigeria.",,,,,UG,info@zayosigma.com,+234 (0) 73290264,,,
XANITALIA srl.,"Via Divisione Acqui 53, Villa Fastiggi --Pesaro  (PU) ",,,,61122,IT,veteranifrancesco@xanitalia.it,0721.289235/ 0721.28921,,,
ZSZ S.R.O.,"NA VOLANOVE 19, PRAGUE, CZECH  REPUBLIC",,,,16000,CZ,info@zsz.cz,00420-2-22720006,222 720 006,,
